# eV, DoS
1.618939205847747323e-02 2.539560950953675089e+01
1.648919561511594592e-02 2.786038567735148064e+01
1.678899917175441861e-02 3.082018537264042379e+01
1.708880272839288783e-02 3.351521286784843312e+01
1.738860628503136052e-02 3.501298285563211721e+01
1.768840984166983321e-02 3.651075284341579419e+01
1.798821339830830243e-02 3.772421439166992485e+01
1.828801695494677512e-02 3.880963356732273439e+01
1.858782051158524781e-02 3.989505274297554394e+01
1.888762406822372050e-02 4.098047191862833927e+01
1.918742762486219319e-02 4.256171734808194884e+01
1.948723118150066588e-02 4.414536907917604935e+01
1.978703473813913510e-02 4.551069047560359593e+01
2.008683829477760779e-02 4.672462361341115411e+01
2.038664185141608048e-02 4.793855675121872650e+01
2.068644540805454971e-02 4.915248988902628469e+01
2.098624896469302240e-02 5.036642302683384997e+01
2.128605252133149509e-02 5.158035616464142237e+01
2.158585607796996431e-02 5.264499087603037708e+01
2.188565963460843700e-02 5.361657558973742255e+01
2.218546319124690969e-02 5.458816030344446801e+01
2.248526674788537891e-02 5.555974501715151348e+01
2.278507030452385160e-02 5.653132973085855184e+01
2.308487386116232429e-02 5.744424900613012142e+01
2.338467741780079351e-02 5.449733073097237224e+01
2.368448097443926620e-02 5.155041245581458753e+01
2.398428453107773889e-02 4.860349418065679572e+01
2.428408808771621158e-02 4.535633058434112286e+01
2.458389164435468427e-02 4.134061882596919446e+01
2.488369520099315696e-02 3.732490706759725185e+01
2.518349875763162618e-02 3.452899547837481720e+01
2.548330231427009887e-02 3.187722925602878021e+01
2.578310587090857156e-02 3.115283170254773282e+01
2.608290942754704078e-02 3.042843414906669608e+01
2.638271298418551347e-02 2.970403659558564868e+01
2.668251654082398616e-02 2.966442977189221963e+01
2.698232009746245538e-02 2.978252306956768081e+01
2.728212365410092807e-02 2.990061636724314553e+01
2.758192721073940076e-02 3.001870966491860671e+01
2.788173076737786998e-02 3.013680296259407143e+01
2.818153432401634267e-02 3.025489626026953616e+01
2.848133788065481536e-02 3.037298955794499733e+01
2.878114143729328459e-02 2.830721553463496676e+01
2.908094499393175728e-02 2.616704454008713654e+01
2.938074855057023343e-02 2.402687354553930277e+01
2.968055210720870613e-02 2.188670255099146900e+01
2.998035566384717535e-02 1.867317350163633094e+01
3.028015922048564804e-02 1.536862910819294470e+01
3.057996277712412073e-02 1.206408471474955846e+01
3.087976633376258995e-02 8.759540321306211297e+00
3.117956989040106264e-02 8.608256670058066717e+00
3.147937344703953533e-02 8.900817235286305973e+00
3.177917700367800108e-02 9.193377800514543452e+00
3.207898056031647377e-02 9.485938365742780931e+00
3.237878411695494646e-02 9.778498930971021963e+00
3.267858767359341915e-02 1.007105949619926299e+01
3.297839123023189184e-02 1.038823337018138204e+01
3.327819478687036453e-02 1.147864292783760476e+01
3.357799834350883722e-02 1.256905248549382392e+01
3.387780190014730297e-02 1.365946204315001999e+01
3.417760545678577566e-02 1.474987160080624271e+01
3.447740901342424835e-02 1.584028115846246720e+01
3.477721257006272104e-02 1.780409298714211985e+01
3.507701612670119373e-02 2.092674678482820738e+01
3.537681968333966642e-02 2.404940058251429491e+01
3.567662323997813217e-02 2.720633623738719820e+01
3.597642679661660486e-02 3.530333709259146246e+01
3.627623035325507755e-02 4.440644205763055652e+01
3.657603390989355024e-02 5.355158646415228674e+01
3.687583746653202293e-02 5.871202032069382426e+01
3.717564102317049562e-02 6.360466990897283068e+01
3.747544457980896138e-02 5.925449086571308044e+01
3.777524813644744101e-02 5.490431182245323072e+01
3.807505169308591370e-02 4.799699289928985735e+01
3.837485524972438639e-02 3.752294689581393072e+01
3.867465880636285908e-02 3.261793596454495514e+01
3.897446236300133177e-02 2.780961702779373468e+01
3.927426591963980446e-02 2.432445456311612375e+01
3.957406947627827021e-02 2.116034512455334848e+01
3.987387303291674290e-02 1.799623568599049861e+01
4.017367658955521559e-02 1.528177747185054969e+01
4.047348014619368828e-02 1.276648960576788383e+01
4.077328370283216097e-02 1.025120173968521797e+01
4.107308725947063366e-02 7.735913873602551227e+00
4.137289081610909941e-02 5.860715184089230867e+00
4.167269437274757210e-02 4.012898829786589516e+00
4.197249792938604479e-02 2.165082475483947722e+00
4.227230148602451748e-02 1.884105105841765493e+00
4.257210504266299017e-02 1.885575998577955881e+00
4.287190859930146286e-02 1.887046891314145824e+00
4.317171215593992861e-02 1.888517784050335768e+00
4.347151571257840130e-02 1.889988676786526156e+00
4.377131926921687399e-02 1.891459569522716322e+00
4.407112282585534668e-02 1.892930462258906710e+00
4.437092638249381937e-02 1.894401354995096876e+00
4.467072993913229206e-02 1.895872247731286819e+00
4.497053349577075781e-02 1.897343140467477207e+00
4.527033705240923050e-02 1.898814033203667373e+00
4.557014060904770320e-02 1.900284925939857761e+00
4.586994416568617589e-02 1.901755818676047483e+00
4.616974772232464858e-02 1.903226711412237870e+00
4.646955127896312127e-02 1.904697604148428036e+00
4.676935483560158702e-02 1.906168496884618202e+00
4.706915839224005971e-02 1.907639389620808368e+00
4.736896194887853240e-02 1.909110282356998534e+00
4.766876550551700509e-02 1.910581175093188921e+00
4.796856906215547778e-02 1.912052067829379087e+00
4.826837261879395741e-02 1.913522960565569253e+00
4.856817617543242316e-02 1.914993853301759419e+00
4.886797973207089585e-02 1.916464746037949585e+00
4.916778328870936854e-02 1.917935638774139750e+00
4.946758684534784123e-02 1.919406531510329916e+00
4.976739040198631392e-02 1.920877424246519860e+00
5.006719395862478661e-02 1.922348316982710248e+00
5.036699751526325236e-02 1.923819209718900414e+00
5.066680107190172505e-02 1.925290102455090802e+00
5.096660462854019774e-02 1.926760995191280745e+00
5.126640818517867043e-02 1.928231887927470911e+00
5.156621174181714312e-02 1.929702780663661299e+00
5.186601529845561581e-02 1.931173673399851465e+00
5.216581885509408156e-02 1.932644566136041409e+00
5.246562241173255425e-02 1.934115458872231574e+00
5.276542596837102694e-02 1.935586351608421740e+00
5.306522952500949963e-02 1.937057244344612128e+00
5.336503308164797232e-02 1.938528137080802294e+00
5.366483663828644501e-02 1.939999029816992460e+00
5.396464019492491077e-02 1.941469922553182625e+00
5.426444375156338346e-02 1.942940815289372791e+00
5.456424730820185615e-02 1.944411708025563179e+00
5.486405086484032884e-02 1.945882600761753123e+00
5.516385442147880153e-02 1.947353493497943289e+00
5.546365797811727422e-02 1.948824386234133454e+00
5.576346153475573997e-02 1.950295278970323842e+00
5.606326509139421266e-02 1.951766171706513786e+00
5.636306864803268535e-02 1.953237064442704174e+00
5.666287220467115804e-02 1.954707957178894340e+00
5.696267576130963073e-02 1.956178849915084728e+00
5.726247931794810342e-02 1.957649742651274893e+00
5.756228287458656917e-02 1.959120635387464837e+00
5.786208643122504186e-02 1.960591528123654781e+00
5.816188998786351455e-02 1.962062420859845391e+00
5.846169354450198724e-02 1.963533313596035335e+00
5.876149710114046687e-02 1.965004206332225500e+00
5.906130065777893956e-02 1.966475099068415888e+00
5.936110421441741225e-02 1.967945991804605832e+00
5.966090777105587800e-02 1.969416884540796442e+00
5.996071132769435069e-02 1.970887777276985942e+00
6.026051488433282338e-02 1.972358670013176551e+00
6.056031844097129607e-02 1.973829562749366495e+00
6.086012199760976876e-02 1.975300455485556883e+00
6.115992555424824145e-02 1.976771348221747049e+00
6.145972911088670720e-02 1.978242240957936993e+00
6.175953266752517989e-02 1.979713133694127603e+00
6.205933622416365258e-02 1.981184026430317546e+00
6.235913978080212527e-02 1.982654919166507934e+00
6.265894333744059796e-02 1.984125811902698100e+00
6.295874689407907066e-02 1.985596704638888044e+00
6.325855045071752947e-02 1.987067597375078210e+00
6.355835400735600216e-02 1.988538490111268597e+00
6.385815756399447485e-02 1.990009382847458541e+00
6.415796112063294754e-02 1.991480275583648707e+00
6.445776467727143411e-02 1.992951168319839095e+00
6.475756823390989292e-02 1.994422061056029261e+00
6.505737179054837949e-02 1.995892953792219648e+00
6.535717534718683830e-02 1.997363846528409592e+00
6.565697890382532487e-02 1.998834739264599758e+00
6.595678246046378368e-02 2.000305632000790368e+00
6.625658601710225637e-02 2.001776524736979646e+00
6.655638957374072906e-02 2.003247417473170255e+00
