 F. Gervais and B. Piriou, Anharmonicity in several-polar-mode crystals:  adjusting phonon self-energy of LO and TO modes in Al2O3 and TiO2 to fit infrared reflectivity,Journal of Physics C Solid State Physics 7 (1974) 2374 and M. Schubert, T.E. Tiwald and C.M. Herzinger, Infrared dielectric anisotropy and phonon modes of sapphire, Phys. Rev. B61(2000) 8187
4.200000000000000955e-02 1.693419416877529926e+01 -2.278315866649240323e-04
4.221979453896817364e-02 1.712723731376883407e+01 2.048700872493902300e-03
4.244073930744492185e-02 1.733029031787080498e+01 4.595636500590711410e-03
4.266284032481511279e-02 1.754431395048786513e+01 7.457085024081469907e-03
4.288610364196428215e-02 1.777041967636806064e+01 1.068722560790987160e-02
4.311053534144348998e-02 1.800990412472908631e+01 1.435334595014927349e-02
4.333614153763500065e-02 1.826429413021315185e+01 1.854003854477085170e-02
4.356292837691892045e-02 1.853540646181903995e+01 2.335509317790243622e-02
4.379090203784054280e-02 1.882542832390369014e+01 2.893792617907278014e-02
4.402006873127881081e-02 1.913702781394465902e+01 3.547188842323070745e-02
4.425043470061544582e-02 1.947350853053476882e+01 4.320265192643887864e-02
4.448200622190503356e-02 1.983903084487443280e+01 5.246638888734256323e-02
4.471478960404604713e-02 2.023893660722195520e+01 6.373422461276327666e-02
4.494879118895271641e-02 2.068023937413232716e+01 7.768471052202916005e-02
4.518401735172777184e-02 2.117238903632360802e+01 9.532654610042445853e-02
4.542047450083616655e-02 2.172851034633863065e+01 1.182157831560646383e-01
4.565816907827965898e-02 2.236750013188409270e+01 1.488608892663839389e-01
4.589710755977230439e-02 2.311777201266637505e+01 1.915272145234463153e-01
4.613729645491689013e-02 2.402438953344303130e+01 2.539632214569369495e-01
4.637874230738227299e-02 2.516379724825878128e+01 3.514850754858637738e-01
4.662145169508166709e-02 2.667758352688506562e+01 5.179615947427259615e-01
4.686543123035183389e-02 2.886148791646768430e+01 8.410485774228519951e-01
4.711068756013327835e-02 3.245152995544895447e+01 1.608949933533835086e+00
4.735722736615120138e-02 3.986120207519276448e+01 4.259130105824352697e+00
4.760505736509772212e-02 6.115254495653655908e+01 2.669019279790961363e+01
4.785418430881473867e-02 -1.740776023322865385e+01 2.856447657446929611e+01
4.810461498447791973e-02 4.191487375475790422e+00 4.511254578337799082e+00
4.835635621478159840e-02 1.188215494901402991e+01 1.749895661294860183e+00
4.860941485812465823e-02 1.573896417376919032e+01 9.684778603299040167e-01
4.886379780879736984e-02 1.824663272518260726e+01 6.531745970122866396e-01
4.911951199716923372e-02 2.016263645454728959e+01 5.034440167572779012e-01
4.937656438987778756e-02 2.179572380894351014e+01 4.286327047918013777e-01
4.963496199001838499e-02 2.330005158033927870e+01 3.943224942872308181e-01
4.989471183733502208e-02 2.476675639807070084e+01 3.856542409521093728e-01
5.015582100841207980e-02 2.625924251252184405e+01 3.959930186570357891e-01
5.041829661686716979e-02 2.782944225649497838e+01 4.228280725127890327e-01
5.068214581354493070e-02 2.952692627719179796e+01 4.662050605986035046e-01
5.094737578671172662e-02 3.140546946661634564e+01 5.282475685696282897e-01
5.121399376225168470e-02 3.352937443350496238e+01 6.133177820086935794e-01
5.148200700386341283e-02 3.598127991813885984e+01 7.287710556450873733e-01
5.175142281325794541e-02 3.887352949553555703e+01 8.865515918958443153e-01
5.202224853035762597e-02 4.236652342546319261e+01 1.106301828896081751e+00
5.229449153349613466e-02 4.670069283468559718e+01 1.421568031774955942e+00
5.256815923961945941e-02 5.225637027585720062e+01 1.892987281681548728e+00
5.284325910448796348e-02 5.967536672598677683e+01 2.638937653624854995e+00
5.311979862287954240e-02 7.013400253500077497e+01 3.915876771969697856e+00
5.339778532879377315e-02 8.604362754159087956e+01 6.366716327765341354e+00
5.367722679565718746e-02 1.132183281581222474e+02 1.199852014162622993e+01
5.395813063652959984e-02 1.697735913651807778e+02 2.990177426822950579e+01
5.424050450431150416e-02 3.387893684411608319e+02 1.512801720123576388e+02
5.452435609195260130e-02 -4.111679444676794333e+02 4.669912848652597859e+02
5.480969313266136761e-02 -1.898477924550025762e+02 5.152894642517048140e+01
5.509652340011565036e-02 -1.066958690316299823e+02 1.728245510954282693e+01
5.538485470867463012e-02 -7.132777229164155131e+01 8.543266011788171355e+00
5.567469491359158806e-02 -5.192953986520655008e+01 5.086547080351085270e+00
5.596605191122792228e-02 -3.967431670433443713e+01 3.376222921870271509e+00
5.625893363926832980e-02 -3.120924604736207897e+01 2.406375657582701777e+00
5.655334807693698784e-02 -2.499034428757345339e+01 1.803516865572272643e+00
5.684930324521500489e-02 -2.020926846149234990e+01 1.403206672068000760e+00
5.714680720705889866e-02 -1.640215474933101802e+01 1.123877092482768347e+00
5.744586806762028153e-02 -1.328378702213461438e+01 9.213289394921031494e-01
5.774649397446668386e-02 -1.066905210099035806e+01 7.699217326419777185e-01
5.804869311780348762e-02 -8.432437885514598719e+00 6.539531135160666642e-01
5.835247373069711585e-02 -6.485692425110675785e+00 5.633750130578504267e-01
5.865784408929930471e-02 -4.764805159955861846e+00 4.915212374734744816e-01
5.896481251307249954e-02 -3.222065304661323015e+00 4.338354214310033985e-01
5.927338736501666649e-02 -1.821024935092874664e+00 3.871262123716217585e-01
5.958357705189703396e-02 -5.331942043402119191e-01 3.491143124439212708e-01
5.989539002447313160e-02 6.641936422418314168e-01 3.181480788766115619e-01
6.020883477772902281e-02 1.789736652734417177e+00 2.930201845294125307e-01
6.052391985110477934e-02 2.858974836809581532e+00 2.728469714202648722e-01
6.084065382872905908e-02 3.885206021332692217e+00 2.569879882565171969e-01
