5.136117	-4.656576
5.113038	-4.941324
5.089959	-5.341533
5.066967	-5.705521
5.028502	-6.099890
5.004560	-6.403665
4.981481	-6.708845
4.956586	-7.015216
4.912331	-7.336181
4.888388	-7.610227
4.866260	-7.835086
4.822004	-8.206752
4.793134	-8.398638
4.724848	-8.878301
4.685174	-9.101753
4.654489	-9.251588
4.616974	-9.464555
4.571768	-9.724440
4.501667	-9.974271
4.451015	-10.176104
4.380914	-10.415124
4.273300	-10.689279
4.187900	-10.877922
4.073544	-11.059431
3.902657	-11.286560
3.788301	-11.408070
3.626058	-11.541471
3.373402	-11.677144
3.197588	-11.780493
3.115819	-11.838221
3.023331	-11.944596
3.008896	-12.054972
3.002154	-12.277560
3.002154	-12.793006
2.979075	-13.190508
2.979075	-13.401854
2.933868	-13.505311
2.882265	-13.568661
2.829365	-13.615579
2.715960	-13.643253
2.511276	-13.670928
1.999568	-13.672009
