# eV, DoS
1.790156224390243925e-02 0.000000000000000000e+00
1.829072664050901756e-02 0.000000000000000000e+00
1.867989103711559240e-02 0.000000000000000000e+00
1.906905543372216724e-02 0.000000000000000000e+00
1.945821983032874208e-02 0.000000000000000000e+00
1.984738422693531346e-02 0.000000000000000000e+00
2.023654862354188830e-02 0.000000000000000000e+00
2.062571302014846314e-02 0.000000000000000000e+00
2.101487741675504145e-02 0.000000000000000000e+00
2.140404181336161629e-02 0.000000000000000000e+00
2.179320620996819113e-02 0.000000000000000000e+00
2.218237060657476598e-02 3.596943994307784109e+00
2.257153500318133735e-02 3.865184730347515973e+00
2.296069939978791219e-02 4.133425466387247837e+00
2.334986379639448703e-02 4.401666202426978813e+00
2.373902819300106534e-02 4.669906938466713342e+00
2.412819258960764018e-02 4.938147674506445206e+00
2.451735698621421503e-02 5.206388410546176182e+00
2.490652138282078640e-02 5.474629146585907158e+00
2.529568577942736124e-02 5.742869882625639910e+00
2.568485017603393608e-02 6.011110618665370886e+00
2.607401457264051092e-02 6.279351354705102750e+00
2.646317896924708923e-02 6.547592090744835502e+00
2.685234336585366408e-02 6.815832826784568255e+00
2.724150776246023892e-02 7.084073562824300119e+00
2.763067215906681029e-02 7.519694963183607861e+00
2.801983655567338513e-02 8.074168191948656315e+00
2.840900095227995997e-02 8.628641420713702104e+00
2.879816534888653481e-02 9.183114649478751446e+00
2.918732974549311313e-02 9.737587878243804340e+00
2.957649414209968797e-02 1.029206110700885191e+01
2.996565853870626281e-02 1.084653433577389947e+01
3.035482293531283418e-02 1.148817325527616617e+01
3.074398733191940902e-02 1.223564896485029330e+01
3.113315172852598386e-02 1.298312467442442220e+01
3.152231612513255871e-02 1.373060038399855287e+01
3.191148052173913702e-02 1.447807609357268710e+01
3.230064491834570839e-02 1.522555180314681600e+01
3.268980931495228670e-02 1.597302751272094667e+01
3.307897371155885807e-02 1.659496062269392880e+01
3.346813810816543638e-02 1.694825329942919012e+01
3.385730250477200776e-02 1.730154597616445145e+01
3.424646690137857913e-02 1.765483865289971632e+01
3.463563129798515744e-02 1.800813132963497765e+01
3.502479569459172881e-02 1.836142400637024252e+01
3.541396009119830712e-02 1.871471668310550385e+01
3.580312448780487850e-02 1.907407245994499334e+01
3.619228888441146375e-02 1.946007742156314890e+01
3.658145328101803512e-02 1.984608238318129736e+01
3.697061767762460649e-02 2.023208734479944226e+01
3.735978207423118480e-02 2.061809230641759072e+01
3.774894647083775617e-02 2.100409726803573918e+01
3.813811086744433448e-02 2.139010222965388408e+01
3.852727526405090586e-02 2.178259655467957501e+01
3.891643966065748417e-02 2.229290819885271446e+01
3.930560405726405554e-02 2.280321984302585747e+01
3.969476845387062691e-02 2.331353148719899693e+01
4.008393285047720522e-02 2.382384313137213994e+01
4.047309724708377660e-02 2.433415477554527939e+01
4.086226164369035491e-02 2.484446641971841885e+01
4.125142604029692628e-02 2.535477806389156186e+01
4.164059043690351153e-02 2.568139476253018927e+01
4.202975483351008290e-02 2.599183434606886323e+01
4.241891923011665427e-02 2.630227392960753363e+01
4.280808362672323258e-02 2.661271351314620404e+01
4.319724802332980396e-02 2.692315309668487799e+01
4.358641241993638227e-02 2.723359268022354840e+01
4.397557681654295364e-02 2.754403226376222236e+01
4.436474121314953195e-02 2.681890260025473083e+01
4.475390560975610332e-02 2.581169134871041138e+01
4.514307000636267470e-02 2.480448009716609903e+01
4.553223440296925301e-02 2.379726884562178313e+01
4.592139879957582438e-02 2.279005759407746723e+01
4.631056319618240269e-02 2.178284634253315133e+01
4.669972759278897406e-02 2.077563509098883898e+01
4.708889198939555931e-02 1.994099100943956415e+01
4.747805638600213068e-02 1.919813747080576505e+01
4.786722078260870206e-02 1.845528393217196950e+01
