P. J. Brown, A. G. Fox, E. N. Maslen, M. A. OKeefe,and B. T. M. Willis, “Intensity of diffracted intensities,” in International Tables for Crystallography (American Cancer Society, 2006) Chap. 6.1, pp. 554–595, https://onlinelibrary.wiley.com/doi/pdf/10.1107/97809553602060000
0.000000000000000000e+00 4.000000000000000000e+00
2.479596249625352300e+02 4.007999999999999119e+00
4.959192499250704600e+02 4.030999999999998806e+00
7.438788748876057753e+02 4.068999999999999062e+00
9.918384998501409200e+02 4.123000000000001108e+00
1.239798124812676178e+03 4.192000000000000171e+00
1.487757749775211551e+03 4.275999999999999801e+00
1.735717374737746923e+03 4.375000000000000000e+00
1.983676999700281840e+03 4.487999999999999545e+00
2.231636624662817212e+03 4.614000000000000767e+00
2.479596249625352357e+03 4.754999999999999005e+00
2.727555874587887502e+03 4.908999999999998920e+00
2.975515499550423101e+03 5.076000000000000512e+00
3.223475124512957791e+03 5.254999999999999005e+00
3.471434749475493845e+03 5.446000000000001506e+00
3.719394374438028990e+03 5.649000000000000909e+00
3.967353999400563680e+03 5.862999999999999545e+00
4.215313624363098825e+03 6.086999999999999744e+00
4.463273249325634424e+03 6.320000000000000284e+00
4.711232874288169114e+03 6.562999999999998835e+00
4.959192499250704714e+03 6.815000000000001279e+00
5.455111749175775003e+03 7.341999999999998749e+00
5.951030999100846202e+03 7.896000000000000796e+00
6.198990624063380892e+03 8.181999999999998607e+00
6.446950249025915582e+03 8.474000000000000199e+00
6.942869498950987690e+03 9.068999999999999062e+00
7.438788748876057980e+03 9.678999999999998494e+00
7.934707998801127360e+03 1.029799999999999827e+01
8.430627248726197649e+03 1.092299999999999827e+01
8.678586873688733249e+03 1.123600000000000065e+01
8.926546498651268848e+03 1.154899999999999949e+01
9.422465748576338228e+03 1.217399999999999949e+01
9.918384998501409427e+03 1.279500000000000171e+01
1.041430424842648063e+04 1.340700000000000003e+01
1.091022349835155001e+04 1.401099999999999923e+01
1.115818312331408561e+04 1.430799999999999983e+01
1.140614274827662121e+04 1.460200000000000031e+01
1.190206199820169240e+04 1.517899999999999849e+01
1.239798124812676178e+04 1.574099999999999966e+01
1.363777937293943796e+04 1.707099999999999795e+01
1.487757749775211596e+04 1.828399999999999892e+01
1.611737562256478850e+04 1.937500000000000000e+01
1.735717374737746650e+04 2.034400000000000119e+01
1.983676999700281885e+04 2.194200000000000017e+01
2.231636624662817121e+04 2.314699999999999847e+01
2.479596249625352357e+04 2.404400000000000048e+01
2.727555874587887592e+04 2.471399999999999864e+01
2.975515499550423192e+04 2.522599999999999909e+01
3.223475124512957700e+04 2.563499999999999801e+01
3.471434749475493300e+04 2.597899999999999920e+01
3.719394374438028899e+04 2.628500000000000014e+01
