# eV, DoS
3.228484603521614149e-02 1.786233592723636221e+01
3.241095871504120346e-02 1.735134632536988164e+01
3.253707139486626543e-02 1.689112549054719992e+01
3.266318407469132740e-02 1.638534095914821620e+01
3.278929675451638937e-02 1.591348908100568416e+01
3.291540943434145827e-02 1.570082150969724566e+01
3.304152211416652024e-02 1.550560133779318228e+01
3.316763479399158221e-02 1.519395058925174347e+01
3.329374747381664418e-02 1.474530860162157708e+01
3.341986015364170615e-02 1.434689551672668273e+01
3.354597283346676811e-02 1.401651505534336195e+01
3.367208551329183008e-02 1.372193727388131812e+01
3.379819819311689899e-02 1.338870537215119150e+01
3.392431087294196096e-02 1.315167880661882194e+01
3.405042355276702293e-02 1.300212479054620474e+01
3.417653623259208490e-02 1.427890691653343680e+01
3.430264891241714686e-02 1.001589971950503184e+02
3.442876159224220883e-02 1.891206334313589252e+02
3.455487427206727080e-02 1.693636593521111990e+02
3.468098695189233971e-02 1.376829714008003975e+02
3.480709963171740168e-02 1.311357143374365251e+02
3.493321231154246365e-02 1.434244287216185967e+02
3.505932499136752561e-02 1.544433051328042836e+02
3.518543767119258758e-02 1.591208056257214594e+02
3.531155035101764955e-02 1.589773306550047494e+02
3.543766303084271152e-02 1.501796301168314187e+02
3.556377571066778043e-02 1.491476703514326232e+02
3.568988839049284933e-02 1.846386028482486381e+02
3.581600107031791130e-02 2.115575695969656920e+02
3.594211375014297327e-02 2.389072164466400352e+02
3.606822642996803524e-02 2.247942224033634773e+02
3.619433910979309721e-02 1.101505519323104352e+02
3.632045178961815918e-02 5.991231443738602991e+01
3.644656446944322115e-02 4.514707999466053678e+01
3.657267714926829005e-02 3.384633255697064413e+01
3.669878982909335202e-02 3.250646506159191773e+01
3.682490250891841399e-02 2.987111991689674539e+01
3.695101518874347596e-02 2.472725152185851627e+01
3.707712786856853793e-02 1.818086232154093906e+01
3.720324054839359990e-02 1.411786331431172670e+01
3.732935322821866186e-02 1.312540701745767180e+01
3.745546590804373077e-02 1.130740940471441824e+01
3.758157858786879274e-02 6.014233351133002614e+00
3.770769126769385471e-02 2.195018671740385230e+00
