# eV, DoS
1.108266909280402300e-02 8.449501838500635742e+00
1.122295604334584522e-02 8.679773093060294542e+00
1.136324299388766917e-02 8.980568295334210305e+00
1.150352994442949313e-02 9.281363497608129620e+00
1.164381689497131535e-02 9.582158699882045383e+00
1.178410384551313930e-02 9.882953902155961146e+00
1.192439079605496152e-02 1.018374910442987691e+01
1.206467774659678374e-02 1.047927126786491669e+01
1.220496469713860770e-02 1.074807593645171089e+01
1.234525164768043165e-02 1.101688060503850330e+01
1.248553859822225387e-02 1.128568527362529572e+01
1.262582554876407609e-02 1.155448994221208814e+01
1.276611249930590004e-02 1.182329461079888056e+01
1.290639944984772400e-02 1.210798732101685893e+01
1.304668640038954622e-02 1.263079802973104115e+01
1.318697335093137017e-02 1.315360873844522338e+01
1.332726030147319239e-02 1.367641944715940561e+01
1.346754725201501635e-02 1.419923015587359316e+01
1.360783420255683857e-02 1.472204086458777539e+01
1.374812115309866252e-02 1.524485157330195761e+01
1.388840810364048474e-02 1.586529937060286422e+01
1.402869505418230696e-02 1.649314967376190921e+01
1.416898200472413265e-02 1.712099997692095954e+01
1.430926895526595487e-02 1.774885028008000276e+01
1.444955590580777709e-02 1.837670058323904598e+01
1.458984285634959931e-02 1.900455088639809276e+01
1.473012980689142326e-02 1.940302624778823670e+01
1.487041675743324722e-02 1.974289911736611813e+01
1.501070370797506943e-02 2.008277198694399601e+01
1.515099065851689339e-02 2.042264485652186679e+01
1.529127760905871561e-02 2.207037807879351377e+01
1.543156455960053783e-02 2.371828175676056460e+01
1.557185151014236352e-02 2.536618543472764031e+01
1.571213846068418574e-02 2.701408911269469115e+01
1.585242541122600796e-02 2.833436997434392168e+01
1.599271236176783018e-02 2.962868255619913782e+01
1.613299931230965240e-02 3.092299513805435396e+01
1.627328626285147808e-02 3.221730771990958431e+01
1.641357321339330030e-02 3.351162030176478623e+01
1.655386016393512252e-02 3.480593288362001658e+01
1.669414711447694821e-02 3.599218843226557141e+01
1.683443406501877043e-02 3.680252962907247394e+01
1.697472101556059265e-02 3.761287082587940489e+01
1.711500796610241487e-02 3.842321202268630742e+01
1.725529491664424056e-02 3.923355321949323837e+01
1.739558186718606278e-02 4.004389441630016222e+01
1.753586881772788500e-02 4.100030963835153841e+01
1.767615576826970722e-02 4.199528235698433321e+01
1.781644271881152944e-02 4.299025507561709958e+01
1.795672966935335513e-02 4.398522779424989437e+01
1.809701661989517735e-02 4.498020051288268917e+01
1.823730357043699957e-02 4.570145936682409626e+01
1.837759052097882526e-02 4.599146298754387630e+01
1.851787747152064401e-02 4.628146660826364922e+01
1.865816442206246970e-02 4.657147022898343636e+01
1.879845137260429538e-02 4.686147384970320928e+01
1.893873832314611413e-02 4.715147747042298221e+01
1.907902527368793982e-02 4.745829161147221242e+01
